province,trend_slope_mean_days_per_year,trend_intercept_mean,trend_slope_median_days_per_year,trend_intercept_median,first_year,last_year,year_count,total_records,total_station_observations
三重県,-0.11446377884734199,322.50407256571947,-0.11446377884734199,322.50407256571947,1953,2025,73,128,128
京都府,-0.12171417993335977,338.87032580526096,-0.12171417993335977,338.87032580526096,1953,2025,73,133,133
佐賀県,-0.08362412392987645,259.3261565343917,-0.08362412392987645,259.3261565343917,1953,2025,72,72,72
兵庫県,-0.07250586202641017,240.77347463902302,-0.06398864618042735,223.47204738985636,1953,2025,73,177,177
北海道,-0.1503523386400118,430.78587004813426,-0.14722942120202612,423.6338393187753,1953,2025,73,973,973
千葉県,-0.059484141675924515,215.24546464272902,-0.059484141675924515,215.24546464272902,1953,2025,73,111,111
和歌山県,-0.07711267605633773,247.14436619718248,-0.07711267605633773,247.14436619718248,1955,2025,71,121,121
埼玉県,-0.13917684808096012,372.9597371343997,-0.13917684808096012,372.9597371343997,1953,2025,73,73,73
大分県,-0.055195606565470595,204.44159570529644,-0.055195606565470595,204.44159570529644,1953,2025,73,73,73
大阪府,-0.11886795152637704,332.15880561640296,-0.11886795152637704,332.15880561640296,1957,2025,65,65,65
奈良県,-0.09794842112033138,290.59060604112153,-0.09794842112033138,290.59060604112153,1954,2025,72,72,72
宮城県,-0.15225842280637106,408.3762495372146,-0.15225842280637106,408.3762495372146,1953,2025,73,73,73
宮崎県,-0.02114957423176644,134.47746205109308,-0.02114957423176644,134.47746205109308,1953,2025,73,106,106
富山県,-0.1469517462668179,392.9308589411393,-0.1469517462668179,392.9308589411393,1953,2025,73,73,73
山口県,-0.10418980624460214,303.055442428733,-0.10418980624460214,303.055442428733,1953,2025,73,73,73
山形県,-0.1629060224608196,434.469941688269,-0.14596445760829524,400.01508700481725,1953,2025,73,170,170
山梨県,-0.08333333333333409,259.46232876712486,-0.08333333333333409,259.46232876712486,1953,2025,73,73,73
岐阜県,-0.2439837097371376,585.0986671603176,-0.2439837097371376,585.0986671603176,1953,2025,73,126,126
岡山県,-0.09798839935826376,291.0222139948196,-0.09798839935826376,291.0222139948196,1953,2025,73,73,73
岩手県,-0.11179501419227507,336.8054887078873,-0.11179501419227507,336.8054887078873,1953,2025,73,128,128
島根県,-0.12784956189066016,351.55058681970127,-0.1303992348512922,356.7544890781245,1953,2025,73,178,178
広島県,-0.1277613229668034,349.43233987412276,-0.1277613229668034,349.43233987412276,1953,2025,73,73,73
徳島県,-0.04609403924472531,186.9687152906354,-0.04609403924472531,186.9687152906354,1953,2025,73,73,73
愛媛県,-0.10398926323583955,300.85519252129046,-0.10398926323583955,300.85519252129046,1953,2025,73,112,112
愛知県,-0.10554732815006802,304.41308774527994,-0.10554732815006802,304.41308774527994,1953,2025,73,73,73
新潟県,-0.1242419474268806,352.03517863754513,-0.12381216833271762,350.98843021103585,1953,2025,73,183,183
栃木県,-0.11754905590522209,332.36671603110335,-0.11754905590522209,332.36671603110335,1953,2025,73,73,73
沖縄県,0.05901211164117762,-81.53846334583118,0.06012274287296924,-84.00175311637932,1954,2025,67,292,292
滋賀県,-0.10428236455633884,307.06145871899645,-0.10428236455633884,307.06145871899645,1953,2025,73,73,73
熊本県,-0.05895964457608392,209.12004813032414,-0.05895964457608392,209.12004813032414,1953,2025,73,73,73
石川県,-0.12509255831173877,349.92553683821296,-0.12509255831173877,349.92553683821296,1953,2025,73,131,131
神奈川県,-0.10539306429717767,303.42132543503175,-0.10539306429717767,303.42132543503175,1953,2025,73,73,73
福井県,-0.11026780204862581,317.7747130692375,-0.11026780204862581,317.7747130692375,1953,2025,73,126,126
福岡県,-0.13548922172944255,361.8185300505335,-0.13548922172944255,361.8185300505335,1953,2025,72,72,72
福島県,-0.16732136245835164,436.3524639022643,-0.14011785758361434,381.5505831173707,1953,2025,73,174,174
秋田県,-0.14186103912131473,395.353387634213,-0.14186103912131473,395.353387634213,1953,2025,73,73,73
群馬県,-0.13457978526471684,364.78878193261784,-0.13457978526471684,364.78878193261784,1953,2025,73,73,73
茨城県,-0.13346908552388326,364.2645316549491,-0.13346908552388326,364.2645316549491,1953,2025,73,73,73
長崎県,-0.08419751943724649,260.7155784894505,-0.08290139454523147,258.1237504627943,1953,2025,73,187,187
長野県,-0.08726305072195596,278.7103174750116,-0.11372331235345098,332.1614216956717,1953,2025,73,182,182
青森県,-0.1481395779341006,412.71811366161114,-0.1481395779341006,412.71811366161114,1953,2025,73,125,125
静岡県,-0.07586696285326573,244.65966308774833,-0.07586696285326573,244.65966308774833,1953,2025,73,125,125
香川県,-0.10644205849685479,307.43928174750454,-0.10644205849685479,307.43928174750454,1953,2025,73,73,73
高知県,-0.09475010790349096,278.47293945632964,-0.09475010790349096,278.47293945632964,1955,2025,69,69,69
鳥取県,-0.11707083796125149,329.5182802665732,-0.11707083796125149,329.5182802665732,1953,2025,73,128,128
鹿児島県,-0.3348630136986383,741.1669178082357,-0.38488831297051046,848.6661421695784,1953,2025,73,169,169
